ID,Taxonrich,logTN,ELEV,longitude,logprecip,logAREA,logCL,logHCO3,logSO4,SED,STRMTEMP,Percent.AGT,Percent.URB,Percent.Canopy,Riparian.Disturb.
532,37,2.75281643,1380,-103.631389,-0.957112726,6.758918787,5.863631176,8.259285921,9.612774224,90.47619048,17.5,0.25,0.09,0.409090909,1.431818182
533,43,2.592176756,1459,-111.875278,-0.305167387,3.779405481,6.891422624,8.375639765,5.922918005,6,13.1,0,0.09,0,0
534,55,2.004321375,1339,-120.68135,0.382537603,4.062681882,2.493205453,7.076789786,4.212127598,4.761904762,15,0,0.07,0.636363636,0
535,49,2.320146286,1277,-116.828611,-0.353821875,3.235536266,5.918356075,7.486088512,5.015291106,34.28571429,17,0.84,0.07,0.318181818,0
536,43,2.439332694,62,-123.054417,0.270027137,2.460443178,4.920710587,6.948888585,4.018183201,47.61904762,15.3,50.44,0.07,0.772727273,0.83335
537,51,2.170261714,1732,-108.909167,-0.889162064,5.858418751,4.786658062,8.045162549,8.728976458,81.90476191,11,0.24,0.07,0.863636364,0.98485
538,15,3.009025743,463,-99.03593,-0.64055473,6.467139564,6.790434636,8.507686748,9.488691547,95.23809524,24,85.26,0.06,0.818181818,0.181827273
539,39,3.049218023,729,-102.24009,-0.862749965,6.160743079,6.345811784,7.754528738,10.39076918,92.38095238,15.3,89.04,0.05,1,1.348490909
540,70,1.681241237,1146,-119.798611,-0.317454231,0.91228271,4.454347296,8.196695874,7.765950688,8.571428571,18,0,0.04,0,0
541,34,2.745074791,778,-104.77,-0.978166136,7.55279881,5.652138242,9.172782835,9.996367509,30.47619048,11.6,15.92,0.04,1,0.575786364
542,31,2.569373909,921,-110.84657,-0.450985623,3.353756307,5.525452939,8.354047006,6.203547151,12,23.8,0,0.03,0,0
543,53,2.041392686,904,-119.14079,-0.644357016,5.679933673,5.620763119,8.221148785,8.433180949,24.76190476,17.5,0.24,0.03,0.454545455,0
544,79,1.740362688,1687,-121.59992,0.306749135,3.072693315,1.360976553,5.628739193,1.252762968,21.90476191,15,0.03,0.03,0,0
545,66,2.225309282,448,-123.47625,0.99399224,1.78339122,4.714024591,6.32641547,3.437207819,0.952380952,9,0,0.03,0,0
546,81,1.544068045,461,-121.721667,0.717839793,3.456947397,2.564949357,6.214912052,3.688879454,3.80952381,11.9,0,0.03,0,0
547,26,2.503790684,1342,-106.33941,-1.038458366,7.641866844,10.34487949,8.452715042,10.31742335,68.57142857,19.1,0,0.03,1,1.196972727
548,29,3.174350597,1312,-105.159167,-1.013352445,7.809204417,6.125776885,8.006253712,8.729882285,82.85714286,21.8,5.51,0.03,0.954545455,1.007581818
549,59,1.544068045,743,-121.4153,-0.113168698,2.782539053,3.117949906,6.617604829,1.252762968,67,15.7,0,0.02,0.045454546,0
550,53,2.11058971,1710,-111.612778,0.003992021,5.9053346,4.128745989,8.145085777,4.055257174,19.04761905,11,0,0.02,0.181818182,0
551,60,1.819543936,660,-121.98878,0.725130226,2.395164274,2.917770732,5.702708325,2.272125886,10.47619048,8.5,0.04,0.02,0,0
552,64,2.220108088,963,-111.78366,-0.423120043,6.562260461,4.781641329,8.265497633,3.927896355,24.76190476,21.3,0,0.01,0.045454546,0
553,63,1.973127854,793,-122.90169,0.466873736,5.026246142,2.517696473,6.263247775,3.433987204,0,18.8,0,0.01,0.272727273,0
554,44,2.357934847,1515,-119.1425,-0.717439873,3.26308408,4.468204331,7.979905858,9.495820021,45.71428571,21.5,0.41,0.01,0.772727273,0
555,43,1.954242509,717,-123.83,0.915890652,1.876406943,3.921973336,4.950997399,2.954910279,49.52380952,10.1,0,0.01,0,0
556,46,2.000000001,1518,-122.934722,0.527092596,3.18345588,4.40060302,6.234319229,3.265759411,0.952380952,15.1,0,0.01,0.681818182,0
557,63,2.107209969,835,-115.52497,0.427878703,5.416233727,2.564949357,5.832202074,2.509599262,12.5,9,0,0.01,0.136363636,0
558,50,2.075546962,1718,-113.23232,-0.685179011,7.226238101,4.373238129,7.881418291,5.478970866,32.38095238,14,1.2,0.01,0.727272727,1.454545455
559,58,2.661812687,1233,-118.67973,-0.114289146,3.911422825,2.451005098,6.301721137,2.797281335,3.80952381,15.1,2.85,0.01,0,1.5
560,38,2.340444115,1395,-120.98587,-0.527632742,4.954911145,3.514526067,7.628559575,2.054123734,1.904761905,13.2,0,0.01,0.227272727,0.803054546
561,34,2.522444235,838,-120.19689,-0.823255866,4.368814741,4.518522379,8.312896934,4.380775853,92.38095238,18,1.2,0.01,0.545454546,1.5
562,61,1.69019608,581,-120.769722,0.613021136,6.151135675,2.587764035,6.15004611,3.749504076,3.846153846,10.8,0,0.01,0.045454546,0
563,68,1.939519254,770,-120.45611,-0.33128571,3.2047769,3.091042453,7.950090816,4.370712875,40.95238095,8.4,0,0.01,0.090909091,0
564,43,2.857935266,1663,-108.82174,-0.858021824,4.784403646,5.668845905,8.146251821,9.536574665,58.0952381,3.4,15.4,0.01,0.954545455,1
565,41,2.51054501,2649,-109.35581,-0.314710745,4.441356301,3.453157121,6.947693043,4.069026754,19.04761905,18.6,0,0,0,1.136363636
566,10,2.887054378,2024,-110.56828,-1.133203733,1.86872051,4.906015245,7.596454182,5.316157285,99.04761905,30.1,0,0,1,1.5
567,65,2.060697841,1207,-111.96975,-0.636766847,4.600760477,5.583496309,8.503919812,5.372032404,42.85714286,14.5,0,0,0,0.212122727
568,63,2.075546962,2332,-109.39573,-0.273121921,3.988984047,3.054001182,6.24276705,4.611152258,3.80952381,11,0,0,0,0
569,58,2.307496037,143,-122.03,-0.131248287,4.223616898,4.085976313,7.838659906,3.968403339,5.714285714,18.8,0,0,0.136363636,0
570,59,1.698970003,520,-123.328056,0.294161039,1.93874166,2.827313622,7.615974334,5.505737957,0.952380952,10.5,0,0,0,0
571,54,1.869231721,293,-123.80843,0.646579545,5.120266677,4.484131858,6.839381145,5.29681624,7.692307692,17.4,0,0,0.090909091,0.151522727
572,53,2.075546962,1385,-116.984722,-0.258770729,1.922787732,4.302712828,7.538162487,3.73289634,30.47619048,11,0,0,0,0
573,56,2.117271296,1647,-116.673333,-0.210721031,1.754403683,5.26217192,7.244078933,3.683866912,6.666666667,10.2,0.17,0,0,0
574,34,1.924279286,1463,-119.080833,-0.652005237,4.207077832,4.283586562,7.842449621,9.513396161,68.57142857,19.6,0.49,0,0.590909091,0
575,49,2.201397124,787,-122.881667,0.327143141,0.916290732,1.360976553,8.288504796,3.943521672,0.952380952,15.5,0,0,0.045454546,0
576,51,2.542825428,122,-122.956111,0.171429116,1.05431203,6.330255522,7.33728451,5.674353664,4.761904762,19.4,0,0,0.045454546,0
577,53,1.662757831,543,-123.051111,0.597186789,6.199088287,6.292864596,7.370639935,5.804833719,7.692307692,21,0,0,0.772727273,0
578,61,1.698970003,1093,-122.763056,0.105260511,3.213260086,2.879198457,7.276487936,3.608211551,28.57142857,10.4,0,0,0,0
579,68,1.903089987,820,-122.507222,0.740507752,2.279316466,4.75272775,6.995370474,3.927896355,5.714285714,13.1,0,0,0.136363636,0
580,61,1.770852011,2428,-118.161944,-0.794073099,2.679650727,2.939161922,6.89346773,3.650658241,40,9.4,0.22,0,0.590909091,0.954545455
581,58,1.77815125,1495,-122.840833,0.263901544,3.47506723,2.292534757,6.751782316,3.790984677,8.571428571,17.6,0,0,0.045454546,0
582,68,1.633468456,1187,-123.013611,0.48796633,1.576914721,2.066862759,6.075050146,3.645449896,6.666666667,14.8,0,0,0,0
583,51,2.334453751,106,-124.002222,0.207826847,0.559615788,5.752890049,8.265172569,6.042157661,15.23809524,13.7,0,0,0,0.060609091
584,62,2.100370545,742,-122.815,-0.245900538,2.209372711,3.265759411,8.174964463,6.398428531,9.523809524,21.5,0,0,0,0
585,62,1.86332286,959,-122.843056,-0.236988958,3.246101811,2.197224577,6.491769592,2.694627181,3.80952381,15.4,0,0,0,0
586,60,1.819543936,270,-123.721667,0.504405056,1.311031877,4.383275854,7.585381922,5.905634291,5.714285714,15.2,0,0,0.045454546,0
587,37,1.86332286,551,-124.03,0.51342225,0.329303747,5.260615499,6.605916785,3.935739532,41,12.4,0,0,0,0
588,33,1.612783858,2453,-116.843611,-0.087738914,1.283707772,2.468099531,6.135117655,3.608211551,18.0952381,6.8,0,0,0,0
589,29,3.386677286,1068,-102.134444,-0.964955904,5.943665142,7.731755268,8.49319456,10.36123513,87.36842105,24.3,45.86,0,0.045454546,1.5
590,52,1.944482671,2878,-107.41807,-0.153151179,1.492904096,2.797281335,7.325408476,3.869115504,4.761904762,7.8,0.02,0,0.318181818,0.060609091
591,41,2.75281643,2024,-108.45796,-0.763569645,3.940027202,6.441903021,9.138309318,9.389866358,93.33333333,16.4,0,0,1,0.893963636
